#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-07T09:37:44 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-07T09:37:44	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/649/A18/tableh1&-order=I&-out=Galaxy&-out=logMdust&-out=e_logMdust&-out=logUav&-out=e_logUav&-out=logqAF&-out=e_logqAF&-out=logMgas&-out=e_logMgas&-out=logfmol&-out=e_logfmol&-out=logMstar&-out=e_logMstar&-out=logsSFR&-out=e_logsSFR&-out=logOovHp12&-out=e_logOovHp12&-out=SimbadName&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36490018
#Name: J/A+A/649/A18
#Title: Nearby galaxy perspective on dust evolution (Galliano+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/649/a18	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/649/a18	    IVOID of underlying data collection
#INFO	creator=Galliano F.	    First author or institution
#INFO	cites=bibcode:2021A&A...649A..18G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/649/A18	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36490018	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-01-20	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_649_A18_tableh1:
#Name: J/A+A/649/A18/tableh1
#Title: SED fitting results
#Column	Galaxy	(a15)	Galaxy name according to the DustPedia catalog (1)	[ucd=meta.id;meta.main]
#Column	logMdust	(E11.4)	Decimal logarithm of the dust mass	[ucd=phys.mass]
#Column	e_logMdust	(E11.4)	Uncertainty on logMdust	[ucd=stat.error]
#Column	logUav	(E11.4)	Decimal logarithm of the average starlight intensity, U, in 2.2E-5W/m2	[ucd=phot.mag;em.opt.U]
#Column	e_logUav	(E11.4)	Uncertainty on logUav	[ucd=stat.error]
#Column	logqAF	(E11.4)	Decimal logarithm of the mass fraction of small a-C(:H) grains	[ucd=phys.mass]
#Column	e_logqAF	(E11.4)	Uncertainty on logqAF	[ucd=stat.error]
#Column	logMgas	(E11.4)	? Decimal logarithm of the gas mass	[ucd=phys.mass]
#Column	e_logMgas	(E11.4)	? Uncertainty on logMgas	[ucd=stat.error]
#Column	logfmol	(E11.4)	? Decimal logarithm of the mass fraction of molecular gas	[ucd=phys.mass]
#Column	e_logfmol	(E11.4)	? Uncertainty on logfmol	[ucd=stat.error]
#Column	logMstar	(E11.4)	? Decimal logarithm of the stellar mass	[ucd=phys.mass]
#Column	e_logMstar	(E11.4)	? Uncertainty on logMstar	[ucd=stat.error]
#Column	logsSFR	(E11.4)	? Decimal logarithm of the specific star formation rate	[ucd=phys.SFR]
#Column	e_logsSFR	(E11.4)	? Uncertainty on logsSFR	[ucd=stat.error]
#Column	logOovHp12	(E11.4)	? Metallicity expressed as 12+log(O/H)	[ucd=phys.abund]
#Column	e_logOovHp12	(E11.4)	? Uncertainty on 12+log(O/H)	[ucd=stat.error]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Galaxy	logMdust	e_logMdust	logUav	e_logUav	logqAF	e_logqAF	logMgas	e_logMgas	logfmol	e_logfmol	logMstar	e_logMstar	logsSFR	e_logsSFR	logOovHp12	e_logOovHp12	SimbadName	_RA	_DE
NGC4309        	 6.2272e+00	 1.6055e-01	 7.9727e-01	 1.5184e-01	-1.1781e+00	 5.1585e-02	 9.2609e+00	 1.8545e-01	           	           	 9.9781e+00	 5.1828e-02	-1.1063e+01	 3.6168e-01	           	           	NGC4309                 	185.55145	+07.14439
UGC07436       	 4.7809e+00	 4.6287e-01	-3.6613e-01	 4.9774e-01	-9.0566e-01	 2.2551e-01	           	           	           	           	 8.9758e+00	 4.3561e-02	-1.2481e+01	 6.7699e-02	           	           	UGC07436                	185.58137	+14.76059
PGC040074      	 4.8250e+00	 5.2233e-01	-4.4943e-01	 5.7616e-01	-1.1674e+00	 2.6782e-01	           	           	           	           	 8.0977e+00	 1.5076e-01	           	           	           	           	PGC040074               	185.59032	+10.60300
NGC4303A       	 6.2898e+00	 1.1650e-01	 1.2636e-02	 1.2594e-01	-1.2228e+00	 1.1859e-01	 9.1001e+00	 1.6687e-03	           	           	 8.6426e+00	 6.8437e-02	-9.4024e+00	 7.4842e-02	 8.1636e+00	 5.7028e-02	NGC4303A                	185.61352	+04.56630
NGC4312        	 6.1794e+00	 5.9182e-02	 5.0721e-01	 6.1016e-02	-8.7111e-01	 2.4728e-02	 8.6269e+00	 1.4257e-01	-4.4018e-01	 1.9069e-01	 9.3949e+00	 5.9470e-02	-1.1281e+01	 2.6449e-01	 8.4794e+00	 5.2178e-02	NGC4312                 	185.63066	+15.53792
NGC4313        	 6.3871e+00	 7.1109e-02	 3.4047e-01	 6.8728e-02	-9.4839e-01	 8.0617e-02	 8.6086e+00	 1.2448e-01	-3.4121e-01	 1.7231e-01	 9.9115e+00	 6.1245e-02	-1.1516e+01	 4.3431e-01	           	           	NGC4313                 	185.66049	+11.80088
NGC4316        	 7.2474e+00	 5.0921e-02	 2.6099e-01	 5.4996e-02	-9.7363e-01	 3.2704e-02	 9.4051e+00	 5.5986e-02	-8.8111e-01	 3.0068e-01	 1.0153e+01	 7.4499e-02	-1.0530e+01	 1.7652e-01	           	           	NGC4316                 	185.67592	+09.33281
IC3229         	 6.1259e+00	 1.6636e-01	 1.0329e-01	 1.9072e-01	-1.1343e+00	 1.1269e-01	 8.6735e+00	 1.3440e-02	           	           	 8.8414e+00	 8.3339e-02	-9.9973e+00	 1.0626e-01	 8.2350e+00	 5.6005e-02	IC3229                  	185.71986	+06.68059
NGC4321        	 7.8306e+00	 5.0114e-02	 5.7229e-01	 7.2445e-02	-1.0195e+00	 3.3005e-02	 1.0053e+01	 1.0383e-01	-4.3734e-01	 1.6904e-01	 1.0720e+01	 7.5975e-02	-9.9750e+00	 1.1228e-01	 8.5605e+00	 1.1958e-02	NGC4321                 	185.72888	+15.82230
NGC4322        	 4.6802e+00	 5.1223e-01	-6.3266e-01	 4.5487e-01	-8.9666e-01	 2.1366e-01	 8.9501e+00	 7.9019e-02	           	           	 8.7781e+00	 5.8816e-02	-1.2214e+01	 2.6708e-01	           	           	NGC4322                 	185.75719	+15.90556
NGC4324        	 6.6476e+00	 7.9049e-02	-2.6343e-02	 8.4022e-02	-8.8205e-01	 9.5989e-02	 9.4129e+00	 6.6189e-02	           	           	 1.0281e+01	 4.1390e-02	-1.1286e+01	 1.2050e-01	           	           	NGC4324                 	185.77573	+05.25034
NGC4330        	 6.9687e+00	 6.8475e-02	 1.2464e-03	 6.8407e-02	-8.2889e-01	 6.1554e-02	 9.0514e+00	 7.0103e-02	-7.5470e-01	 1.9870e-01	 9.7366e+00	 7.3155e-02	-1.0399e+01	 1.1582e-01	 8.4437e+00	 5.7751e-02	NGC4330                 	185.82187	+11.36798
NGC4339        	 5.5410e+00	 2.8425e-01	 1.6030e-01	 3.9273e-01	-9.4660e-01	 1.5450e-01	           	           	           	           	 1.0440e+01	 3.7376e-02	-1.2000e+01	 7.3400e-02	           	           	NGC4339                 	185.89559	+06.08180
NGC4340        	 5.5468e+00	 3.1909e-01	-6.0666e-02	 2.8974e-01	-9.3076e-01	 1.3296e-01	           	           	           	           	 1.0426e+01	 2.5703e-02	-1.2020e+01	 4.8848e-02	           	           	NGC4340                 	185.89699	+16.72235
NGC4343        	 7.0539e+00	 5.1626e-02	 1.8091e-01	 4.6551e-02	-9.2606e-01	 2.9784e-02	 9.3957e+00	 2.9741e-01	           	           	 1.0183e+01	 5.8084e-02	-1.0972e+01	 2.0690e-01	           	           	NGC4343                 	185.91122	+06.95408
IC3258         	 5.9943e+00	 1.1642e-01	 2.7771e-01	 1.1931e-01	-1.3449e+00	 1.0929e-01	 8.3997e+00	 8.3523e-03	           	           	 8.5213e+00	 8.2765e-02	-9.4085e+00	 8.6393e-02	 8.0568e+00	 5.3017e-02	IC3258                  	185.93540	+12.47835
IC3259         	 6.4496e+00	 1.0255e-01	-1.5195e-01	 1.1175e-01	-8.9370e-01	 7.5285e-02	 8.4361e+00	 4.1638e-02	           	           	 9.1605e+00	 6.9258e-02	-1.0481e+01	 1.2655e-01	 8.3953e+00	 5.0628e-02	IC3259                  	185.95207	+07.18532
NGC4341        	 5.6824e+00	 2.7174e-01	-2.0710e-01	 3.3880e-01	-8.4276e-01	 1.6716e-01	           	           	           	           	 9.1842e+00	 4.1867e-02	-1.1881e+01	 3.6651e-01	           	           	NGC4341                 	185.97280	+07.10727
NGC4350        	 6.0589e+00	 1.8776e-01	 1.8235e-01	 1.7225e-01	-8.2449e-01	 1.0535e-01	           	           	           	           	 1.0647e+01	 2.3508e-02	-1.2004e+01	 3.9547e-02	           	           	NGC4350                 	185.99089	+16.69336
NGC4351        	 6.1061e+00	 7.9664e-02	 3.2573e-01	 8.7815e-02	-1.0154e+00	 6.8904e-02	 8.4481e+00	 5.9939e-02	           	           	 9.1330e+00	 7.6993e-02	-1.0140e+01	 1.0170e-01	 8.3738e+00	 5.1236e-02	NGC4351                 	186.00650	+12.20502
NGC4352        	 5.2014e+00	 4.4014e-01	-2.6518e-01	 4.3202e-01	-9.6525e-01	 1.8493e-01	           	           	           	           	 9.7796e+00	 2.1978e-02	-1.2421e+01	 4.7568e-01	           	           	NGC4352                 	186.02092	+11.21808
IC3267         	 6.8901e+00	 1.0150e-01	 7.9468e-02	 1.1879e-01	-8.6904e-01	 6.3846e-02	 9.0112e+00	 3.4816e-02	           	           	 9.7919e+00	 6.3359e-02	-1.0428e+01	 1.0214e-01	 8.4687e+00	 5.0807e-02	IC3267                  	186.02303	+07.04125
IC3268         	 6.7595e+00	 8.9388e-02	 4.4729e-01	 9.0233e-02	-1.1778e+00	 7.6819e-02	 9.4308e+00	 4.8054e-03	           	           	 9.5303e+00	 5.1139e-02	-9.5796e+00	 5.9753e-02	 8.2571e+00	 4.2602e-02	IC3268                  	186.03096	+06.60747
NGC4359        	 6.9844e+00	 8.6713e-02	-2.3517e-01	 8.9937e-02	-1.0697e+00	 5.0699e-02	 9.4159e+00	 8.9292e-03	-1.3070e+00	 1.5669e-01	 9.4255e+00	 7.8704e-02	-1.0048e+01	 1.0270e-01	 8.2750e+00	 5.2004e-02	NGC4359                 	186.04608	+31.52161
NGC4356        	 6.3879e+00	 1.1426e-01	 2.2669e-01	 1.6106e-01	-9.5694e-01	 9.2867e-02	 8.8725e+00	 1.6433e-01	           	           	 9.6600e+00	 6.6288e-02	-1.1389e+01	 3.0271e-01	           	           	NGC4356                 	186.06056	+08.53580
NGC4365        	 6.0277e+00	 5.3218e-01	 3.1283e-01	 5.4553e-01	-9.5064e-01	 2.5272e-01	           	           	           	           	 1.1409e+01	 5.6795e-02	-1.2394e+01	 1.5107e-01	           	           	NGC4365                 	186.11762	+07.31752
NGC4370        	 6.8179e+00	 7.0626e-02	 5.5114e-01	 6.9089e-02	-1.0168e+00	 8.7606e-02	           	           	           	           	 1.0443e+01	 7.2242e-02	-1.1282e+01	 4.5723e-01	           	           	NGC4370                 	186.22888	+07.44457
NGC4371        	 6.4323e+00	 3.4558e-01	-3.7521e-01	 3.0818e-01	-2.9011e-01	 1.7357e-01	           	           	           	           	 1.0714e+01	 3.5062e-02	-1.3053e+01	 4.1282e-01	           	           	NGC4371                 	186.23096	+11.70429
IC3305         	 5.7851e+00	 4.0528e-01	-1.2791e-01	 3.5492e-01	-8.8789e-01	 1.5907e-01	           	           	           	           	 9.7751e+00	 7.0074e-02	-1.2039e+01	 3.8819e-01	           	           	IC3305                  	186.31040	+11.84961
NGC4379        	 5.4793e+00	 2.6054e-01	 3.9669e-01	 2.6991e-01	-9.2655e-01	 1.3026e-01	           	           	           	           	 1.0153e+01	 6.4380e-02	-1.2510e+01	 2.9525e-01	           	           	NGC4379                 	186.31144	+15.60743
NGC4376        	 6.4881e+00	 7.5403e-02	 3.3606e-01	 7.7056e-02	-1.1649e+00	 8.8477e-02	 8.9964e+00	 8.1278e-03	           	           	 9.1925e+00	 7.9953e-02	-9.6643e+00	 8.9529e-02	 8.2409e+00	 4.9828e-02	NGC4376                 	186.32507	+05.74115
NGC4378        	 7.9320e+00	 8.0490e-02	-2.7670e-01	 7.4738e-02	-5.0074e-01	 8.3674e-02	 9.9431e+00	 5.6502e-02	           	           	 1.1313e+01	 4.0238e-02	-1.1190e+01	 6.8884e-02	           	           	NGC4378                 	186.32532	+04.92502
NGC4380        	 7.1036e+00	 4.3527e-02	-3.4855e-02	 4.2244e-02	-8.5202e-01	 1.5612e-02	 8.9431e+00	 9.9407e-02	-4.2588e-01	 1.7028e-01	 1.0317e+01	 6.7271e-02	-1.1210e+01	 2.3091e-01	           	           	NGC4380                 	186.34241	+10.01671
IC3311         	 6.4511e+00	 1.3944e-01	-2.2505e-01	 1.6656e-01	-1.0254e+00	 1.0334e-01	 8.6259e+00	 1.8658e-02	           	           	 9.1041e+00	 6.9494e-02	-1.0537e+01	 1.3061e-01	 8.2747e+00	 5.5820e-02	IC3311                  	186.38792	+12.26028
NGC4387        	 5.3278e+00	 3.7109e-01	-6.4122e-02	 4.0425e-01	-9.0869e-01	 1.7514e-01	           	           	           	           	 1.0137e+01	 4.9423e-02	-1.2618e+01	 4.3761e-01	           	           	NGC4387                 	186.42365	+12.81050
NGC4385        	 7.0107e+00	 1.5970e-01	 9.7041e-01	 1.5470e-01	-1.2537e+00	 7.7771e-03	 9.3237e+00	 2.8251e-02	           	           	 9.8592e+00	 8.4590e-02	-9.4311e+00	 9.4483e-02	 8.4148e+00	 6.9219e-02	NGC4385                 	186.42838	+00.57258
NGC4388        	 7.0067e+00	 2.0825e-02	 8.1504e-01	 2.1428e-02	-1.1341e+00	 1.2230e-02	 9.1739e+00	 1.1145e-01	-5.1755e-01	 2.2733e-01	 1.0275e+01	 6.5231e-02	-1.0170e+01	 1.1852e-01	 8.4513e+00	 4.2574e-02	NGC4388                 	186.44508	+12.66207
NGC4390        	 7.0423e+00	 5.7361e-02	 5.7060e-02	 5.9804e-02	-1.0168e+00	 3.5318e-02	 9.2073e+00	 8.4417e-02	           	           	 9.5497e+00	 4.9435e-02	-9.7619e+00	 6.3706e-02	 8.3687e+00	 6.1201e-02	NGC4390                 	186.46111	+10.45903
IC3322         	 6.7471e+00	 6.8529e-02	 7.0628e-02	 7.3392e-02	-9.6613e-01	 4.9689e-02	 8.8107e+00	 2.0383e-02	           	           	 9.3144e+00	 7.4812e-02	-1.0216e+01	 1.4552e-01	 8.3545e+00	 5.1014e-02	IC3322                  	186.47551	+07.55482
UGC07522       	 7.4674e+00	 5.8663e-02	-1.3028e-01	 6.1727e-02	-9.3659e-01	 6.4695e-02	 9.5458e+00	 3.9736e-02	           	           	 1.0336e+01	 5.1990e-02	-1.0701e+01	 8.8076e-02	           	           	UGC07522                	186.49568	+03.42731
NGC4396        	 6.9726e+00	 6.0984e-02	-9.4399e-02	 6.0804e-02	-1.0003e+00	 4.3803e-02	 9.2031e+00	 7.1905e-02	-1.1489e+00	 3.2173e-01	 9.2935e+00	 7.7510e-02	-9.8684e+00	 1.0350e-01	 8.3130e+00	 2.7054e-02	NGC4396                 	186.49501	+15.67147
IC3331         	 4.6822e+00	 5.1166e-01	-6.6429e-01	 4.6162e-01	-1.0309e+00	 2.1606e-01	           	           	           	           	 8.5281e+00	 1.0862e-01	-1.1625e+01	 2.0065e-01	 8.2937e+00	 6.1585e-02	IC3331                  	186.52214	+11.81221
NGC4402        	 6.9381e+00	 2.8907e-02	 3.7392e-01	 2.1846e-02	-9.0243e-01	 1.1044e-02	 9.0172e+00	 1.5424e-01	-5.5794e-01	 2.4379e-01	 9.6705e+00	 1.0175e-01	-1.0347e+01	 2.2135e-01	 8.4954e+00	 2.0637e-02	NGC4402                 	186.53189	+13.11332
PGC040659      	 6.2660e+00	 3.9925e-01	 3.6592e-01	 4.5408e-01	-8.0734e-01	 2.1356e-01	           	           	           	           	 1.1262e+01	 7.9099e-02	-1.2957e+01	 2.7412e-01	           	           	PGC040659               	186.56325	+12.96383
NGC4411A       	 6.4825e+00	 1.1500e-01	-7.1277e-02	 1.2503e-01	-9.4053e-01	 7.5557e-02	 9.1658e+00	 3.2561e-03	           	           	 9.2027e+00	 9.5751e-02	-1.0034e+01	 1.1558e-01	 8.3573e+00	 6.6987e-02	NGC4411A                	186.62441	+08.87224
NGC4413        	 6.5447e+00	 5.5783e-02	 2.7518e-01	 5.7881e-02	-9.6768e-01	 3.2406e-02	 8.8989e+00	 2.6383e-01	           	           	 9.4346e+00	 4.5472e-02	-1.0326e+01	 9.3948e-02	 8.4450e+00	 5.0602e-02	NGC4413                 	186.63430	+12.61067
NGC4412        	 7.0473e+00	 2.7216e-02	 8.1350e-01	 2.7118e-02	-1.0470e+00	 8.8379e-03	 9.3997e+00	 1.0280e-01	-6.4871e-01	 2.3289e-01	 1.0101e+01	 6.8746e-02	-9.6765e+00	 7.6196e-02	 8.5663e+00	 3.5519e-02	NGC4412                 	186.65035	+03.96470
NGC4415        	 5.1858e+00	 4.1617e-01	-2.8910e-01	 4.1871e-01	-8.9135e-01	 1.8204e-01	           	           	           	           	 9.6389e+00	 4.4263e-02	-1.2508e+01	 3.2470e-01	           	           	NGC4415                 	186.66869	+08.43572
NGC4416        	 7.3567e+00	 4.5461e-02	 2.5983e-01	 4.5470e-02	-8.5192e-01	 4.8744e-02	 9.4959e+00	 5.0435e-02	-6.5024e-01	 1.4847e-01	 1.0040e+01	 5.8319e-02	-9.8538e+00	 8.2606e-02	 8.4757e+00	 2.6111e-02	NGC4416                 	186.69467	+07.91883
NGC4417        	 5.5775e+00	 3.0026e-01	 2.8147e-01	 2.8857e-01	-9.4677e-01	 1.5059e-01	           	           	           	           	 1.0403e+01	 8.1586e-02	-1.2478e+01	 3.7066e-01	           	           	NGC4417                 	186.71094	+09.58412
IC3355         	 2.6942e+00	 4.5289e-01	-1.8925e-01	 4.9193e-01	-1.4697e+00	 2.6069e-01	 5.5018e+00	 2.1977e-02	           	           	 5.5348e+00	 1.2716e-01	-9.7329e+00	 1.3492e-01	 7.8615e+00	 8.5567e-02	IC3355                  	186.71444	+13.17303
IC3358         	 5.1467e+00	 3.3327e-01	-1.7138e-02	 4.2664e-01	-9.9976e-01	 1.9393e-01	           	           	           	           	 8.9655e+00	 7.6959e-02	-1.1956e+01	 1.9536e-01	           	           	IC3358                  	186.72676	+11.66357
PGC040759      	 5.1426e+00	 4.8334e-01	-6.0462e-01	 4.3545e-01	-9.4434e-01	 1.9944e-01	           	           	           	           	 8.8247e+00	 7.8966e-02	-1.1189e+01	 1.2616e-01	           	           	PGC040759               	186.72730	+10.66586
NGC4419        	 6.9236e+00	 2.0173e-02	 7.3899e-01	 2.0933e-02	-1.1732e+00	 7.4716e-03	 9.3930e+00	 1.4704e-01	-2.8580e-01	 2.0150e-01	 1.0391e+01	 5.2369e-02	-1.0848e+01	 3.8407e-01	 8.5511e+00	 2.9006e-02	NGC4419                 	186.73514	+15.04742
NGC4409        	 6.5979e+00	 2.5528e-02	 5.2882e-01	 2.4622e-02	-9.0098e-01	 1.1264e-02	 9.1319e+00	 3.9292e-02	-8.7225e-01	 1.8691e-01	 9.3360e+00	 8.3539e-02	-9.6093e+00	 9.1743e-02	 8.4246e+00	 3.3952e-02	NGC4409                 	186.74348	+02.49437
NGC4423        	 6.7628e+00	 1.1502e-01	-1.4662e-01	 1.2315e-01	-1.1490e+00	 1.2787e-01	 9.3905e+00	 6.4421e-02	-9.7194e-01	 1.9699e-01	 9.1181e+00	 7.3012e-02	-9.8445e+00	 8.6111e-02	 8.1701e+00	 5.5926e-02	NGC4423                 	186.78738	+05.88022
NGC4424        	 5.0879e+00	 5.8100e-02	 8.6432e-01	 5.6801e-02	-1.0296e+00	 4.5329e-02	 7.6601e+00	 7.7555e-02	-3.5786e-01	 1.4480e-01	 8.6151e+00	 7.6513e-02	-1.1027e+01	 2.3809e-01	 8.4974e+00	 1.7204e-02	NGC4424                 	186.79823	+09.42064
NGC4425        	 5.1913e+00	 4.6657e-01	-1.5841e-01	 4.4230e-01	-8.8534e-01	 2.0584e-01	           	           	           	           	 1.0004e+01	 2.6284e-02	-1.3069e+01	 3.6148e-01	           	           	NGC4425                 	186.80557	+12.73477
PGC040819      	 3.8816e+00	 5.3529e-01	-1.4788e+00	 3.7779e-01	-1.0334e+00	 2.7964e-01	           	           	           	           	           	           	           	           	           	           	PGC040819               	186.80750	+14.12333
IC3371         	 6.1910e+00	 2.5668e-01	 2.0219e-01	 2.6116e-01	-1.2933e+00	 1.4931e-01	 9.5466e+00	 3.8157e-03	           	           	 9.2357e+00	 1.0082e-01	-9.9315e+00	 1.1093e-01	 8.0718e+00	 6.9206e-02	IC3371                  	186.84272	+10.86678
NGC4430        	 7.4939e+00	 5.1321e-02	 1.8815e-01	 4.3880e-02	-8.2366e-01	 6.3694e-02	 9.5737e+00	 7.5921e-02	-8.2644e-01	 2.3921e-01	 1.0298e+01	 7.6257e-02	-1.0085e+01	 9.4547e-02	 8.4896e+00	 5.4012e-02	NGC4430                 	186.86001	+06.26277
NGC4429        	 6.2202e+00	 1.6304e-01	 5.9149e-01	 1.5201e-01	-5.9489e-01	 6.4728e-02	           	           	           	           	 1.0901e+01	 3.2925e-02	-1.2263e+01	 2.1649e-01	           	           	NGC4429                 	186.86043	+11.10766
PGC040821      	 1.1034e+00	 6.7479e-01	-8.9822e-01	 6.4222e-01	-1.0452e+00	 5.0519e-01	           	           	           	           	 5.5631e+00	 8.7510e-02	-1.2111e+01	 2.3097e-01	           	           	PGC040821               	186.88167	+09.60222
NGC4434        	 5.5709e+00	 3.1313e-01	 1.3666e-01	 3.6216e-01	-9.0678e-01	 1.6510e-01	           	           	           	           	 1.0218e+01	 6.3567e-02	-1.2541e+01	 2.7273e-01	           	           	NGC4434                 	186.90283	+08.15431
NGC4435        	 6.2047e+00	 2.1883e-02	 7.0757e-01	 1.9680e-02	-1.1388e+00	 2.5939e-02	           	           	           	           	 1.0470e+01	 2.1609e-02	-1.2435e+01	 4.6834e-01	           	           	NGC4435                 	186.91876	+13.07902
NGC4436        	 5.8935e+00	 2.4880e-01	-2.1901e-01	 3.0496e-01	-8.0689e-01	 1.2899e-01	           	           	           	           	 9.5054e+00	 3.6121e-02	-1.1869e+01	 4.3665e-01	           	           	NGC4436                 	186.92181	+12.31589
NGC4438        	 6.5768e+00	 3.2698e-02	 4.0422e-01	 2.9049e-02	-1.1067e+00	 1.3695e-02	 9.0752e+00	 2.1970e-01	-6.1046e-01	 3.4995e-01	 1.0407e+01	 5.5082e-02	-1.1266e+01	 1.5387e-01	           	           	NGC4438                 	186.94022	+13.00859
NGC4440        	 5.2691e+00	 4.0217e-01	-1.7859e-01	 3.9507e-01	-8.8017e-01	 1.7470e-01	           	           	           	           	 1.0247e+01	 5.7540e-02	-1.2839e+01	 2.9925e-01	           	           	NGC4440                 	186.97322	+12.29319
UGC07579       	 6.8238e+00	 8.6913e-02	 3.0224e-01	 9.5101e-02	-9.5840e-01	 9.5420e-02	 9.0979e+00	 2.8945e-02	           	           	 9.6195e+00	 7.2284e-02	-1.0059e+01	 9.5219e-02	 8.3946e+00	 5.1827e-02	UGC07579                	186.98076	+05.72125
NGC4442        	 5.2771e+00	 3.7658e-01	 4.6436e-01	 3.7164e-01	-1.0865e+00	 1.8734e-01	           	           	           	           	 1.0731e+01	 4.3194e-02	           	           	           	           	NGC4442                 	187.01622	+09.80362
NGC4449        	 6.3493e+00	 3.3892e-02	 7.3970e-01	 3.3247e-02	-1.2347e+00	 3.0939e-02	 9.1888e+00	 2.1613e-02	-1.9184e+00	 1.7602e-01	 8.8649e+00	 2.4856e-02	-8.9809e+00	 3.2981e-02	 8.2255e+00	 3.3158e-02	NGC4449                 	187.04632	+44.09356
IC3381         	 5.3081e+00	 4.4307e-01	-3.1970e-01	 4.2056e-01	-9.0395e-01	 1.8935e-01	           	           	           	           	 9.4607e+00	 4.6672e-02	-1.2390e+01	 4.2784e-01	           	           	IC3381                  	187.06189	+11.78991
NGC4445        	 6.3739e+00	 7.0319e-02	 1.3913e-01	 7.4347e-02	-8.5165e-01	 8.2178e-02	 8.9429e+00	 1.5993e-01	           	           	 9.7073e+00	 6.2726e-02	-1.1292e+01	 2.5251e-01	           	           	NGC4445                 	187.06656	+09.43640
IC3391         	 6.6475e+00	 7.0761e-02	 1.6342e-01	 7.6988e-02	-8.9717e-01	 3.5951e-02	 8.7964e+00	 2.4629e-02	           	           	 9.4424e+00	 6.4292e-02	-9.9522e+00	 7.6778e-02	 8.3526e+00	 6.6161e-02	IC3391                  	187.11366	+18.41530
NGC4450        	 7.0237e+00	 2.3262e-02	 2.0625e-01	 2.7241e-02	-1.1278e+00	 2.9281e-02	 9.2483e+00	 1.2479e-01	-3.2269e-01	 1.8778e-01	 1.0736e+01	 4.8369e-02	-1.1403e+01	 1.2395e-01	           	           	NGC4450                 	187.12347	+17.08495
UGC07596       	 4.2992e+00	 3.7362e-01	 2.8486e-02	 3.8294e-01	-9.4038e-01	 1.8737e-01	 6.7814e+00	 7.9285e-02	           	           	 7.6543e+00	 8.4128e-02	-1.1472e+01	 2.1961e-01	           	           	UGC07596                	187.14136	+08.63961
NGC4451        	 6.7422e+00	 4.2820e-02	 6.4029e-01	 4.2511e-02	-9.4489e-01	 2.3180e-02	 9.0659e+00	 1.1141e-01	-6.4875e-01	 2.1871e-01	 9.7430e+00	 7.4710e-02	-9.9572e+00	 1.0160e-01	 8.4303e+00	 1.2366e-02	NGC4451                 	187.16899	+09.25892
IC3393         	 5.4098e+00	 4.2476e-01	-3.8341e-01	 4.1720e-01	-8.8697e-01	 1.8402e-01	           	           	           	           	 9.0543e+00	 2.3974e-02	-1.2131e+01	 2.9936e-01	           	           	IC3393                  	187.17377	+12.91591
IC3392         	 6.1178e+00	 5.0288e-02	 3.7582e-01	 5.3169e-02	-8.6670e-01	 1.4468e-02	 8.2997e+00	 1.3982e-01	-4.2853e-01	 1.9751e-01	 9.3726e+00	 6.0512e-02	-1.1458e+01	 2.3208e-01	 8.5168e+00	 5.3218e-02	IC3392                  	187.18032	+14.99943
NGC4452        	 5.5630e+00	 3.1988e-01	 6.0785e-02	 3.4441e-01	-9.3336e-01	 1.5401e-01	           	           	           	           	 9.9753e+00	 4.3162e-02	-1.2436e+01	 2.3595e-01	           	           	NGC4452                 	187.18041	+11.75506
NGC4460        	 5.9705e+00	 7.7130e-02	 7.0961e-01	 7.7277e-02	-1.2142e+00	 4.1553e-02	 8.3773e+00	 9.0223e-02	           	           	 9.2112e+00	 7.2985e-02	-1.0528e+01	 1.9483e-01	           	           	NGC4460                 	187.18982	+44.86424
